client_id,start_counts,step_1_counts,step_2_counts,step_3_counts,confirm_counts,visit_count,variation,error_count,backward_steps_count
555,1,1,1,1,1,1,Test,0.0,0
647,1,1,1,1,1,1,Test,0.0,0
934,4,0,0,0,0,1,Test,0.0,0
1028,1,5,2,1,0,1,Control,0.0,18
1104,1,0,0,0,0,2,Control,0.0,0
1104,1,0,0,0,0,2,Control,0.0,0
1186,1,0,0,0,0,2,Control,0.0,0
1186,1,1,1,0,0,2,Control,0.0,0
1195,1,1,1,1,1,1,Control,0.0,0
1197,1,1,2,2,1,1,Control,0.0,7
1336,1,1,1,1,1,2,Test,0.0,0
1336,0,0,0,0,2,2,Test,0.0,0
1346,5,2,1,2,0,1,Test,0.0,20
1368,1,0,0,0,0,1,Control,0.0,0
1516,1,1,1,1,1,2,Test,0.0,33
1516,5,3,3,0,0,2,Test,0.0,33
1643,1,1,1,1,1,3,Test,0.0,4
1643,1,0,0,0,0,3,Test,0.0,4
1643,3,1,0,0,0,3,Test,0.0,4
1702,0,0,0,0,1,3,Test,0.0,0
1702,0,0,0,0,1,3,Test,0.0,0
1702,0,0,0,0,1,3,Test,0.0,0
1755,1,1,1,1,1,2,Test,0.0,0
1755,1,1,1,1,0,2,Test,0.0,0
1836,2,2,0,0,0,3,Test,0.0,4
1836,1,1,0,0,0,3,Test,0.0,4
1836,1,1,1,1,2,3,Test,0.0,4
1936,4,1,2,2,1,1,Test,1.0,10
2439,1,0,0,0,0,1,Control,0.0,0
2581,1,0,0,0,0,1,Control,0.0,0
2720,3,0,0,0,0,1,Test,0.0,0
3232,1,1,1,1,1,1,Test,0.0,0
3572,1,1,1,1,1,1,Test,0.0,0
3647,1,0,0,0,0,2,Control,0.0,5
3647,2,1,1,1,0,2,Control,0.0,5
3743,1,1,1,1,1,1,Control,0.0,0
4369,1,1,1,1,1,1,Test,0.0,0
4484,2,1,1,2,1,1,Test,0.0,7
4603,0,0,0,0,1,2,Test,0.0,0
4603,1,1,1,1,1,2,Test,0.0,0
4717,2,1,1,1,0,2,Test,0.0,5
4717,1,1,1,1,1,2,Test,0.0,5
4870,1,1,1,1,1,1,Test,0.0,0
5354,1,1,1,1,1,2,Control,0.0,0
5354,1,1,0,0,0,2,Control,0.0,0
5845,1,1,1,1,0,2,Test,0.0,0
5845,1,1,1,2,0,2,Test,0.0,0
6022,2,1,0,0,0,1,Test,0.0,3
6150,1,0,0,0,0,1,Test,0.0,0
6642,1,1,1,1,1,1,Control,0.0,0
6904,1,1,1,1,1,1,Test,0.0,0
6977,2,1,1,1,1,1,Control,0.0,0
6985,2,1,1,1,1,1,Control,0.0,0
7020,1,1,0,0,0,2,Control,0.0,30
7020,2,3,2,2,1,2,Control,0.0,30
7561,1,1,0,0,0,2,Test,0.0,4
7561,2,1,1,0,0,2,Test,0.0,4
7563,1,1,1,1,1,1,Test,0.0,0
7567,2,1,1,1,1,1,Control,0.0,0
7657,2,2,1,1,1,1,Test,0.0,7
7723,1,1,1,1,1,1,Test,0.0,0
7934,2,1,0,0,0,1,Test,0.0,3
8023,1,1,0,0,0,1,Test,0.0,0
8039,1,1,1,1,0,1,Control,0.0,0
8055,1,1,1,1,1,1,Test,0.0,0
8101,1,1,1,1,1,1,Control,0.0,0
8124,1,0,0,0,0,1,Control,0.0,0
8610,2,0,0,0,0,1,Test,0.0,0
8712,2,2,2,0,0,1,Test,0.0,6
8820,1,1,1,1,1,1,Test,0.0,0
9229,3,3,2,0,0,1,Control,0.0,24
9751,3,2,2,0,0,1,Test,0.0,21
9767,1,1,1,1,1,2,Control,1.0,0
9767,2,1,1,1,0,2,Control,1.0,0
9845,1,0,0,0,0,1,Control,0.0,0
9916,1,1,1,0,0,2,Test,0.0,0
9916,0,0,0,1,1,2,Test,0.0,0
10344,5,0,0,0,0,1,Control,0.0,0
10363,1,1,0,0,0,1,Test,0.0,0
11040,1,1,1,1,1,1,Test,0.0,0
11054,2,1,1,1,1,1,Control,0.0,0
11070,1,1,1,1,0,2,Control,0.0,0
11070,4,1,1,1,1,2,Control,0.0,0
11122,1,1,1,1,1,1,Control,0.0,0
11309,1,1,1,1,1,2,Test,0.0,0
11309,0,0,0,0,1,2,Test,0.0,0
11880,5,2,1,1,1,2,Test,0.0,10
11880,0,0,0,0,1,2,Test,0.0,10
12045,2,1,1,0,0,1,Control,0.0,0
12785,1,1,2,2,1,1,Test,0.0,0
13009,1,1,2,4,1,1,Control,0.0,18
13735,1,1,1,1,2,1,Test,0.0,0
13831,2,1,1,0,0,2,Control,0.0,5
13831,4,1,0,0,0,2,Control,0.0,5
14690,2,1,0,0,0,1,Test,0.0,3
14775,1,0,0,0,0,1,Control,0.0,0
15050,3,3,1,1,1,1,Test,0.0,18
15189,1,1,1,1,1,1,Test,0.0,0
15753,3,0,0,0,0,2,Test,0.0,21
15753,2,2,2,1,0,2,Test,0.0,21
15807,2,1,1,1,0,1,Test,0.0,5
16095,1,1,1,1,0,1,Control,0.0,0
16098,1,1,1,1,1,1,Test,0.0,0
16135,2,2,1,1,1,5,Control,0.0,7
16135,2,1,0,0,0,5,Control,0.0,7
16135,1,1,0,0,0,5,Control,0.0,7
16135,1,0,0,0,0,5,Control,0.0,7
